iter	Logloss
0	0.6728804987
1	0.6569264187
2	0.641085692
3	0.6287889711
4	0.6171251819
5	0.606665599
6	0.5967822712
7	0.5888516674
8	0.5817329991
9	0.5749011058
10	0.5686883615
11	0.5635883681
12	0.5583676792
13	0.5544714197
14	0.5501467366
15	0.5459727617
16	0.542657781
17	0.5400171232
18	0.5370867706
19	0.5339461564
20	0.5314279973
21	0.5292991894
22	0.5270693941
23	0.5246543693
24	0.5227678968
25	0.5213709901
26	0.5194689745
27	0.5183692335
28	0.5170122151
29	0.515521105
30	0.5143335582
31	0.5135306395
32	0.5126992967
33	0.5117525396
34	0.510923773
35	0.5100209403
36	0.5089939773
37	0.5084298303
38	0.5077099944
39	0.5073187969
40	0.5064488109
41	0.5060141614
42	0.5052690787
43	0.5046495861
44	0.5041526782
45	0.5035307383
46	0.5032043325
47	0.5026796445
48	0.5021734193
49	0.5018693836
50	0.5014375679
51	0.5013054084
52	0.5009030044
53	0.5006130091
54	0.5000984541
55	0.4996960502
56	0.4992896102
57	0.499045042
58	0.4987966095
59	0.4983466316
60	0.4981470612
61	0.4978674566
62	0.4974141296
63	0.4968469341
64	0.4963887981
65	0.4961828302
66	0.495831564
67	0.4955417404
68	0.4952951113
69	0.4951026684
70	0.4948308783
71	0.4945237941
72	0.4943443611
73	0.4941696511
74	0.4940559544
75	0.4938287757
76	0.4934489565
77	0.4933226363
78	0.4930712842
79	0.4928683218
80	0.492662869
81	0.4924371931
82	0.4923081679
83	0.4922541534
84	0.4920106157
85	0.4918034884
86	0.4916176579
87	0.4912756231
88	0.4910546702
89	0.4908088998
90	0.4905611543
91	0.4903756672
92	0.4902744221
93	0.4899338472
94	0.4898149981
95	0.489734835
96	0.4895898374
97	0.4894844704
98	0.4892703874
99	0.4891256903
100	0.4889390868
101	0.4886715045
102	0.4886104913
103	0.4884334198
104	0.4881754124
105	0.4876782898
106	0.4874581527
107	0.4872636059
108	0.487081425
109	0.4869081749
110	0.4866838299
111	0.486459485
112	0.4862425252
113	0.4861089917
114	0.485912341
115	0.4857800956
116	0.4856168068
117	0.4855183527
118	0.4853759742
119	0.4853019511
120	0.4850922476
121	0.4849828875
122	0.4848264257
123	0.4846107111
124	0.4843877402
125	0.4842591444
126	0.4841664008
127	0.4839784234
128	0.4837405963
129	0.4836143191
130	0.4834963287
131	0.4832299486
132	0.4830327398
133	0.4829014819
134	0.4827508166
135	0.4826709111
136	0.4825430452
137	0.4822118306
138	0.4819543813
139	0.4817468247
140	0.4816860262
141	0.4815846094
142	0.481375507
143	0.4811156963
144	0.4808681225
145	0.4805793724
146	0.4803441644
147	0.480140558
148	0.4799572607
149	0.4796422332
150	0.4793295672
151	0.4789391856
152	0.4786201649
153	0.4784715176
154	0.4782637463
155	0.4782067692
156	0.4781373832
157	0.4780039785
158	0.4778521968
159	0.47754829
160	0.4772582946
161	0.4771477323
162	0.4768438684
163	0.4765583814
164	0.4764752987
165	0.4763742254
166	0.4762674844
167	0.4760812245
168	0.4759595415
169	0.4759581246
170	0.4757768453
171	0.4755657249
172	0.4753935912
173	0.475163321
174	0.4750639651
175	0.4748869795
176	0.4746437853
177	0.4743759025
178	0.4741476074
179	0.4740993464
180	0.473834512
181	0.4735908026
182	0.4733034264
183	0.4729402238
184	0.4728332252
185	0.472496901
186	0.472372556
187	0.4721099543
188	0.4719107704
189	0.4718072926
190	0.4716267004
191	0.4711714841
192	0.4709053187
193	0.470868436
194	0.4705813174
195	0.4704662897
196	0.4703179
197	0.4701094846
198	0.4698370934
199	0.4697020141
