iter	Passed	Remaining
0	2	569
1	5	537
2	7	521
3	10	498
4	12	490
5	15	486
6	17	474
7	19	466
8	21	460
9	23	454
10	26	454
11	28	449
12	30	445
13	33	445
14	35	442
15	38	438
16	41	442
17	43	435
18	45	433
19	48	434
20	50	431
21	52	427
22	55	427
23	58	429
24	61	433
25	64	431
26	67	431
27	69	427
28	71	423
29	74	420
30	76	416
31	78	409
32	80	407
33	82	403
34	84	399
35	87	397
36	89	395
37	91	392
38	94	389
39	96	385
40	98	381
41	100	378
42	102	375
43	104	371
44	107	369
45	109	366
46	111	362
47	113	360
48	116	358
49	118	355
50	120	352
51	122	349
52	125	346
53	127	344
54	129	341
55	131	338
56	134	336
57	136	333
58	138	330
59	140	328
60	142	325
61	144	322
62	146	319
63	149	316
64	151	314
65	153	311
66	155	308
67	157	306
68	159	303
69	162	301
70	164	298
71	166	295
72	168	293
73	171	291
74	173	288
75	175	285
76	177	283
77	179	280
78	181	278
79	183	275
80	186	273
81	188	271
82	190	268
83	192	266
84	195	264
85	197	261
86	199	259
87	202	258
88	205	256
89	207	253
90	209	251
91	212	248
92	214	246
93	216	244
94	218	241
95	220	239
96	222	236
97	225	234
98	227	231
99	229	229
100	231	227
101	233	224
102	236	222
103	238	219
104	240	217
105	242	214
106	244	212
107	246	210
108	249	208
109	251	205
110	253	203
111	256	201
112	258	198
113	260	196
114	262	194
115	265	191
116	267	189
117	269	187
118	271	185
119	273	182
120	276	180
121	278	177
122	280	175
123	282	173
124	284	170
125	286	168
126	289	166
127	291	163
128	293	161
129	295	159
130	297	156
131	299	154
132	301	152
133	304	149
134	306	147
135	308	145
136	311	143
137	313	140
138	315	138
139	318	136
140	320	134
141	323	132
142	326	130
143	328	127
144	330	125
145	332	123
146	335	120
147	337	118
148	340	116
149	342	114
150	345	111
151	347	109
152	349	107
153	351	105
154	353	102
155	356	100
156	358	98
157	360	95
158	363	93
159	365	91
160	368	89
161	370	86
162	373	84
163	375	82
164	377	80
165	379	77
166	381	75
167	384	73
168	386	70
169	387	68
170	389	66
171	391	63
172	394	61
173	396	59
174	398	56
175	400	54
176	402	52
177	404	50
178	406	47
179	409	45
180	411	43
181	413	40
182	415	38
183	417	36
184	419	34
185	421	31
186	424	29
187	426	27
188	428	24
189	430	22
190	432	20
191	435	18
192	437	15
193	439	13
194	441	11
195	444	9
196	446	6
197	448	4
198	450	2
199	453	0
